1 of 464



Result File: Babes in the Jungle.txt res
['immediate', 'ADJ', '1']
['system', 'NOUN', '1']
['bunco', 'NOUN', '1']
['community', 'NOUN', '1']
['dollar', 'NOUN', '1']
['apply', 'VERB', '1']
['salvation', 'NOUN', '1']
['army', 'NOUN', '1']
['fit', 'ADJ', '1']
['miss', 'VERB', '1']
['helen', 'ADJ', '1']
['gould', 'VERB', '1']
['doorstep', 'NOUN', '1']
['dozen', 'NOUN', '1']
['capital', 'NOUN', '1']
['1200', 'NUM', '1']
['pool', 'NOUN', '1']
['piece', 'NOUN', '1']
['million', 'NUM', '1']
['morning', 'NOUN', '2']
['meet', 'VERB', '3']
['sonorous', 'ADJ', '1']
['stir', 'VERB', '1']
['silent', 'ADJ', '1']
['joy', 'NOUN', '1']
['afternoon', 'NOUN', '1']
['introduce', 'VERB', '1']
['friend', 'NOUN', '2']
['sound', 'ADJ', '2']
['nice', 'ADJ', '1']
['plausible', 'ADJ', '1']
['mr', 'X', '16']
['acquaint', 'VERB', '1']
['finance', 'NOUN', '1']
['king', 'NOUN', '1']
['social', 'ADJ', '2']
['stranger', 'NOUN', '1']
['klein', 'NOUN', '13']
['oclock', 'NOUN', '1']
['bring', 'VERB', '2']
['wall', 'NOUN', '1']
['picture', 'NOUN', '10']
['turkish', 'ADJ', '1']
['towel', 'NOUN', '1']
['wrap', 'NOUN', '1']
['foot', 'NOUN', '1']
['cane', 'NOUN', '2']
['pescud', 'NOUN', '1']
['superfluous', 'ADJ', '1']
['mention', 'VERB', '1']
['great', 'ADJ', '4']
['financial', 'ADJ', '1']
['cut', 'VERB', '2']
['gent', 'NOUN', '3']
['interest', 'NOUN', '1']
['railroad', 'NOUN', '1']
['guy', 'NOUN', '1']
['stud', 'NOUN', '1']
['poker', 'NOUN', '1']
['pierpont', 'NOUN', '2']
['forget', 'VERB', '1']
['excuse', 'VERB', '1']
['gout', 'NOUN', '1']
['bad', 'ADJ', '1']
['play', 'VERB', '1']
['card', 'NOUN', '1']
['oneeyed', 'ADJ', '1']
['peter', 'ADJ', '1']
['seattle', 'ADJ', '1']
['mexico', 'NOUN', '1']
['answer', 'NOUN', '1']
['hammer', 'NOUN', '1']
['swear', 'VERB', '1']
['loud', 'ADJ', '1']
['tone', 'NOUN', '1']
['voice', 'NOUN', '1']
['pound', 'NOUN', '1']
['smile', 'ADJ', '2']
['roar', 'VERB', '1']
['agent', 'NOUN', '2']
['cable', 'NOUN', '1']
['italy', 'NOUN', '1']
['50000', 'NUM', '1']
['tomorrow', 'NOUN', '1']
['75000', 'NUM', '1']
['la', 'ADJ', '1']
['carte', 'NOUN', '1']
['purchase', 'NOUN', '1']
['understand', 'VERB', '2']
['gallery', 'NOUN', '1']
['allow', 'VERB', '1']
['de', 'X', '3']
['vinchy', 'NOUN', '3']
['flatiron', 'X', '1']
['afraid', 'ADJ', '1']
['education', 'NOUN', '1']
['bum', 'NOUN', '1']
['27', 'NUM', '1']
['inch', 'NOUN', '1']
['42', 'NUM', '2']
['love', 'NOUN', '2']
['idle', 'ADJ', '2']
['represent', 'VERB', '1']
['number', 'NOUN', '1']
['cloak', 'INTJ', '1']
['model', 'NOUN', '1']
['twostep', 'NOUN', '1']
['purple', 'ADJ', '1']
['cablegram', 'NOUN', '1']
['country', 'NOUN', '1']
['collection', 'NOUN', '1']
['complete', 'ADJ', '1']
['long', 'ADJ', '1']
['financier', 'NOUN', '1']
['early', 'ADV', '1']
['away', 'ADV', '1']
['cab', 'NOUN', '2']
['talk', 'NOUN', '1']
['simple', 'ADJ', '1']
['unsuspecting', 'ADJ', '1']
['shame', 'NOUN', '1']
['try', 'VERB', '1']
['rob', 'X', '1']
['imprudent', 'ADJ', '1']
['propose', 'NOUN', '1']
['stroll', 'NOUN', '1']
['dinner', 'NOUN', '1']
['seventh', 'ADJ', '1']
['avenue', 'NOUN', '1']
['sight', 'NOUN', '1']
['cuff', 'NOUN', '1']
['link', 'NOUN', '1']
['instigate', 'ADJ', '1']
['admiration', 'NOUN', '1']
['pawnshop', 'NOUN', '4']
['window', 'NOUN', '1']
['jump', 'NOUN', '1']
['wave', 'NOUN', '1']
['hanging', 'VERB', '1']
['desk', 'NOUN', '1']
['article', 'NOUN', '2']
['girl', 'NOUN', '2']
['natural', 'ADJ', '1']
['paint', 'NOUN', '1']
['measure', 'NOUN', '1']
['36', 'NUM', '1']
['25', 'NUM', '1']
['skirt', 'NOUN', '2']
['buckandwing', 'VERB', '1']
['oh', 'INTJ', '1']
['open', 'ADJ', '1']
['stand', 'VERB', '1']
['anxious', 'ADJ', '1']
['soak', 'VERB', '1']
['drink', 'NOUN', '1']
['saunter', 'NOUN', '1']
['watchchain', 'NOUN', '2']
['violent', 'ADJ', '1']
['speciman', 'ADJ', '1']
['chromo', 'NOUN', '1']
['remark', 'NOUN', '1']
['casual', 'ADJ', '1']
['pawnbroker', 'NOUN', '3']
['enthuse', 'NOUN', '1']
['shoulderblade', 'NOUN', '1']
['red', 'ADJ', '1']
['bunting', 'VERB', '1']
['225', 'NUM', '1']
['knock', 'VERB', '1']
['fragile', 'ADJ', '1']
['hurry', 'VERB', '1']
['plate', 'NOUN', '1']
['pledge', 'NOUN', '2']
['ago', 'ADV', '2']
['italian', 'ADJ', '1']
['gentleman', 'NOUN', '1']
['loan', 'NOUN', '1']
['500', 'NUM', '1']
['leonardo', 'NOUN', '1']
['legal', 'ADJ', '1']
['expire', 'VERB', '1']
['unredeemed', 'ADJ', '1']
['style', 'NOUN', '1']
['chain', 'NOUN', '1']
['half', 'NOUN', '1']
['2000', 'NUM', '1']
['sit', 'VERB', '1']
['fool', 'NOUN', '1']
['tassel', 'NOUN', '1']
['cover', 'VERB', '1']
['exactly', 'ADV', '1']
['department', 'NOUN', '1']
['store', 'NOUN', '1']
['sale', 'NOUN', '1']
['frame', 'NOUN', '2']
['348', 'NUM', '1']
['charge', 'NOUN', '1']
['350', 'NUM', '1']

2 of 464



Result File: The McWilliamses And The Burglar Alarm.txt res
['mcwilliams', 'NOUN', '1']
['burglar', 'ADJ', '27']
['alarm', 'NOUN', '35']
['mark', 'NOUN', '2']
['twain', 'ADV', '2']
['conversation', 'NOUN', '1']
['drift', 'NOUN', '1']
['smoothly', 'ADV', '1']
['pleasantly', 'ADV', '1']
['weather', 'NOUN', '1']
['crop', 'NOUN', '2']
['literature', 'NOUN', '2']
['scandal', 'NOUN', '2']
['religion', 'NOUN', '1']
['random', 'ADJ', '1']
['jump', 'NOUN', '2']
['land', 'NOUN', '2']
['subject', 'ADJ', '1']
['time', 'NOUN', '16']
['mr', 'X', '3']
['mcwilliam', 'ADV', '6']
['feel', 'VERB', '1']
['perceive', 'ADJ', '1']
['sign', 'VERB', '3']
['man', 'NOUN', '3']
['dial', 'NOUN', '1']
['comprehend', 'VERB', '1']
['lapse', 'NOUN', '1']
['silence', 'NOUN', '1']
['opportunity', 'NOUN', '1']
['unload', 'ADJ', '1']
['heart', 'NOUN', '1']
['illcontrolled', 'VERB', '1']
['emotion', 'NOUN', '1']
['single', 'ADJ', '2']
['cent', 'NOUN', '3']
['twainnot', 'ADP', '1']
['centand', 'NOUN', '1']
['tell', 'X', '1']
['finish', 'NOUN', '3']
['house', 'NOUN', '13']
['find', 'VERB', '2']
['little', 'ADJ', '2']
['cash', 'NOUN', '1']
['leave', 'VERB', '8']
['account', 'NOUN', '2']
['plumber', 'NOUN', '1']
['know', 'VERB', '7']
['enlighten', 'VERB', '1']
['heathen', 'NOUN', '2']
['unaccountably', 'ADV', '1']
['mrs', 'INTJ', '5']
['let', 'VERB', '1']
['agree', 'VERB', '1']
['compromise', 'NOUN', '3']
['explain', 'VERB', '3']
['want', 'VERB', '2']
['thing', 'NOUN', '10']
['decide', 'VERB', '1']
['wantsa', 'ADV', '1']
['come', 'VERB', '10']
['new', 'ADJ', '7']
['york', 'NOUN', '1']
['charge', 'NOUN', '5']
['twentyfive', 'ADJ', '1']
['dollar', 'NOUN', '3']
['sleep', 'NOUN', '4']
['uneasiness', 'NOUN', '1']
['awhilesay', 'NOUN', '1']
['month', 'NOUN', '6']
['night', 'NOUN', '10']
['smell', 'NOUN', '1']
['smoke', 'NOUN', '3']
['advise', 'VERB', '1']
['matter', 'NOUN', '1']
['light', 'ADJ', '3']
['candle', 'NOUN', '1']
['start', 'VERB', '2']
['stair', 'NOUN', '1']
['meet', 'VERB', '1']
['room', 'NOUN', '10']
['basket', 'NOUN', '1']
['tinware', 'NOUN', '2']
['mistake', 'NOUN', '1']
['solid', 'ADJ', '2']
['silver', 'NOUN', '1']
['dark', 'ADJ', '1']
['pipe', 'NOUN', '1']
['friend', 'NOUN', '1']
['allow', 'VERB', '2']
['smoking', 'NOUN', '1']
['stranger', 'NOUN', '3']
['expect', 'VERB', '1']
['rule', 'NOUN', '2']
['good', 'ADJ', '5']
['object', 'ADJ', '1']
['add', 'VERB', '1']
['far', 'ADV', '1']
['experience', 'NOUN', '3']
['consider', 'VERB', '1']
['apply', 'VERB', '1']
['custom', 'NOUN', '1']
['think', 'VERB', '6']
['conceding', 'VERB', '1']
['privilege', 'NOUN', '1']
['deny', 'VERB', '1']
['bishop', 'NOUN', '1']
